

Congressional Directory for the 114th Congress (2015-2016), February 2016. - 


Congressional Directory for the 114th Congress (2015-2016), February 2016.
[Pages 316-319]
[From the U.S. Government Publishing Office, www.gpo.gov]


          REPRESENTATIVES, RESIDENT COMMISSIONER, AND DELEGATES
McGovern, James P., MA (2d)
McHenry, Patrick T., NC (10th)
McKinley, David B., WV (1st)
McMorris Rodgers, Cathy, WA (5th)
McNerney, Jerry, CA (9th)
McSally, Martha, AZ (2d)
Meadows, Mark, NC (11th)
Meehan, Patrick, PA (7th)
Meeks, Gregory W., NY (5th)
Meng, Grace, NY (6th)
Messer, Luke, IN (6th)
Mica, John L., FL (7th)
Miller, Candice S., MI (10th)
Miller, Jeff, FL (1st)
Moolenaar, John R., MI (4th)
Mooney, Alexander X., WV (2d)
Moore, Gwen, WI (4th)
Moulton, Seth, MA (6th)
Mullin, Markwayne, OK (2d)
Mulvaney, Mick, SC (5th)
Murphy, Patrick, FL (18th)
Murphy, Tim, PA (18th)
Nadler, Jerrold, NY (10th)
Napolitano, Grace F., CA (32d)
Neal, Richard E., MA (1st)
Neugebauer, Randy, TX (19th)
Newhouse, Dan, WA (4th)
Noem, Kristi L., SD (At Large)
Nolan, Richard M., MN (8th)
Norcross, Donald, NJ (1st)
Nugent, Richard B., FL (11th)
Nunes, Devin, CA (22d)
Olson, Pete, TX (22d)
O'Rourke, Beto, TX (16th)
Palazzo, Steven M., MS (4th)
Pallone, Frank, Jr., NJ (6th)
Palmer, Gary J., AL (6th)
Pascrell, Bill, Jr., NJ (9th)
Paulsen, Erik, MN (3d)
Payne, Donald M., Jr., NJ (10th)
Pearce, Stevan, NM (2d)
Pelosi, Nancy, CA (12th)
Perlmutter, Ed, CO (7th)
Perry, Scott, PA (4th)
Peters, Scott H., CA (52d)
Peterson, Collin C., MN (7th)
Pingree, Chellie, ME (1st)
Pittenger, Robert, NC (9th)
Pitts, Joseph R., PA (16th)
Pocan, Mark, WI (2d)
Poe, Ted, TX (2d)
Poliquin, Bruce, ME (2d)
Polis, Jared, CO (2d)
Pompeo, Mike, KS (4th)
Posey, Bill, FL (8th)
Price, David E., NC (4th)
Price, Tom, GA (6th)
Quigley, Mike, IL (5th)
Rangel, Charles B., NY (13th)
Ratcliffe, John, TX (4th)
Reed, Tom, NY (23d)
Reichert, David G., WA (8th)
Renacci, James B., OH (16th)
Ribble, Reid J., WI (8th)
Rice, Kathleen M., NY (4th)
Rice, Tom, SC (7th)
Richmond, Cedric L., LA (2d)
Rigell, E. Scott, VA (2d)
Roby, Martha, AL (2d)
Roe, David P., TN (1st)
Rogers, Harold, KY (5th)
Rogers, Mike, AL (3d)
Rohrabacher, Dana, CA (48th)
Rokita, Todd, IN (4th)
Rooney, Thomas J., FL (17th)
Roskam, Peter J., IL (6th)
Ros-Lehtinen, Ileana, FL (27th)
Ross, Dennis A., FL (15th)
Rothfus, Keith J., PA (12th)
Rouzer, David, NC (7th)
Roybal-Allard, Lucille, CA (40th)
Royce, Edward R., CA (39th)
Ruiz, Raul, CA (36th)
Ruppersberger, C. A. Dutch, MD (2d)
Rush, Bobby L., IL (1st)
Russell, Steve, OK (5th)
Ryan, Paul D., WI (1st)
Ryan, Tim, OH (13th)
Salmon, Matt, AZ (5th)
Sanchez, Linda T., CA (38th)
Sanchez, Loretta, CA (46th)
Sanford, Mark, SC (1st)
Sarbanes, John P., MD (3d)
Scalise, Steve, LA (1st)
Schakowsky, Janice D., IL (9th)
Schiff, Adam B., CA (28th)
Schrader, Kurt, OR (5th)
Schweikert, David, AZ (6th)
Scott, Austin, GA (8th)
Scott, David, GA (13th)
Scott, Robert C. ``Bobby'', VA (3d)
Sensenbrenner, F. James, Jr., WI (5th)
Serrano, Jose E., NY (15th)
Sessions, Pete, TX (32d)
Sewell, Terri A., AL (7th)
Sherman, Brad, CA (30th)
Shimkus, John, IL (15th)
Shuster, Bill, PA (9th)
Simpson, Michael K. ID (2d)
Sinema, Kyrsten, AZ (9th)
Sires, Albio, NJ (8th)
Slaughter, Louise McIntosh, NY (25th)
Smith, Adam, WA (9th)
Smith, Adrian, NE (3d)
Smith, Christopher H., NJ (4th)
Smith, Jason, MO (8th)
Smith, Lamar, TX (21st)
Speier, Jackie, CA (14th)
Stefanik, Elise M., NY (21st)
Stewart, Chris, UT (2d)
Stivers, Steve, OH (15th)
Stutzman, Marlin A., IN (3d)
Swalwell, Eric, CA (15th)
Takai, Mark, HI (1st)

[[Page 319]]


Takano, Mark, CA (41st)
Thompson, Bennie G., MS (2d)
Thompson, Glenn, PA (5th)
Thompson, Mike, CA (5th)
Thornberry, Mac, TX (13th)
Tiberi, Patrick J., OH (12th)
Tipton, Scott R., CO (3d)
Titus, Dina, NV (1st)
Tonko, Paul, NY (20th)
Torres, Norma J., CA (35th)
Trott, David A., MI (11th)
Tsongas, Niki, MA (3d)
Turner, Michael R., OH (10th)
Upton, Fred, MI (6th)
Valadao, David G., CA (21st)
Van Hollen, Chris, MD (8th)
Vargas, Juan, CA (51st)
Veasey, Marc A., TX (33d)
Vela, Filemon, TX (34th)
Velazquez, Nydia M., NY (7th)
Visclosky, Peter J., IN (1st)
Wagner, Ann, MO (2d)
Walberg, Tim, MI (7th)
Walden, Greg, OR (2d)
Walker, Mark, NC (6th)
Walorski, Jackie, IN (2d)
Walters, Mimi, CA (45th)
Walz, Timothy J., MN (1st)
Wasserman Schultz, Debbie, FL (23d)
Waters, Maxine, CA (43d)
Watson Coleman, Bonnie, NJ (12th)
Weber, Randy K., Sr., TX (14th)
Webster, Daniel, FL (10th)
Welch, Peter, VT (At Large)
Wenstrup, Brad R., OH (2d)
Westerman, Bruce, AR (4th)
Westmoreland, Lynn A., GA (3d)
Whitfield, Ed, KY (1st)
Williams, Roger, TX (25th)
Wilson, Frederica S., FL (24th)
Wilson, Joe, SC (2d)
Wittman, Robert J., VA (1st)
Womack, Steve, AR (3d)
Woodall, Rob, GA (7th)
Yarmuth, John A., KY (3d)
Yoder, Kevin, KS (3d)
Yoho, Ted S., FL (3d)
Young, David, IA (3d)
Young, Don, AK (At Large)
Young, Todd C., IN (9th)
Zeldin, Lee M., NY (1st)
Zinke, Ryan K., MT (At Large)

RESIDENT COMMISSIONER
Pierluisi, Pedro R., PR

DELEGATES
Radewagen, Aumua Amata Coleman, AS
Norton, Eleanor Holmes, DC
Bordallo, Madeleine Z., GU
Sablan, Gregorio Kilili Camacho, MP
Plaskett, Stacey E., VI



