

Congressional Directory for the 111th Congress (2009-2010), December 2009. - 


Congressional Directory for the 111th Congress (2009-2010), December 2009.
[Pages 310-313]
[From the U.S. Government Publishing Office, www.gpo.gov]


          REPRESENTATIVES, RESIDENT COMMISSIONER, AND DELEGATES
Lowey, Nita M., NY (18th)
Lucas, Frank D., OK (3d)
Luetkemeyer, Blaine, MO (9th)
Lujan, Ben Ray, NM (3d)
Lummis, Cynthia M., WY (At Large)
Lungren, Daniel E., CA (3d)
Lynch, Stephen F., MA (9th)
McCarthy, Carolyn, NY (4th)
McCarthy, Kevin, CA (22d)
McCaul, Michael, T., TX (10th)
McClintock, Tom, CA (4th)
McCollum, Betty, MN (4th)
McCotter, Thaddeus G., MI (11th)
McDermott, Jim, WA (7th)
McGovern, James P., MA (3d)

[[Page 312]]


McHenry, Patrick T., NC (10th)
McIntyre, Mike, NC (7th)
McKeon, Howard P. ``Buck'', CA (25th)
McMahon, Michael E., NY (13th)
McMorris Rodgers, Cathy, WA (5th)
McNerney, Jerry, CA (11th)
Mack, Connie, FL (14th)
Maffei, Daniel B., NY (25th)
Maloney, Carolyn B., NY (14th)
Manzullo, Donald A., IL (16th)
Marchant, Kenny, TX (24th)
Markey, Betsy, CO (4th)
Markey, Edward J., MA (7th)
Marshall, Jim, GA (8th)
Massa, Eric J. J., NY (29th)
Matheson, Jim, UT (2d)
Matsui, Doris O., CA (5th)
Meek, Kendrick B., FL (17th)
Meeks, Gregory W., NY (6th)
Melancon, Charlie, LA (3d)
Mica, John L., FL (7th)
Michaud, Michael H., ME (2d)
Miller, Brad, NC (13th)
Miller, Candice S., MI (10th)
Miller, Gary G., CA (42d)
Miller, George, CA (7th)
Miller, Jeff, FL (1st)
Minnick, Walt, ID (1st)
Mitchell, Harry E., AZ (5th)
Mollohan, Alan B., WV (1st)
Moore, Dennis, KS (3d)
Moore, Gwen, WI (4th)
Moran, James P., VA (8th)
Moran, Jerry, KS (1st)
Murphy, Christopher S., CT (5th)
Murphy, Patrick J., PA (8th)
Murphy, Scott, NY (20th)
Murphy, Tim, PA (18th)
Murtha, John P., PA (12th)
Myrick, Sue Wilkins, NC (9th)
Nadler, Jerrold, NY (8th)
Napolitano, Grace F., CA (38th)
Neal, Richard E., MA (2d)
Neugebauer, Randy, TX (19th)
Nunes, Devin, CA (21st)
Nye, Glenn C., VA (2d)
Oberstar, James L., MN (8th)
Obey, David R., WI (7th)
Olson, Pete, TX (22d)
Olver, John W., MA (1st)
Ortiz, Solomon P., TX (27th)
Pallone, Frank, Jr., NJ (6th)
Pascrell, Bill, Jr., NJ (8th)
Pastor, Ed, AZ (4th)
Paul, Ron, TX (14th)
Paulsen, Erik, MN (3d)
Payne, Donald M., NJ (10th)
Pelosi, Nancy, CA (8th)
Pence, Mike, IN (6th)
Perlmutter, Ed, CO (7th)
Perriello, Thomas S.P., VA (5th)
Peters, Gary C., MI (9th)
Peterson, Collin C., MN (7th)
Petri, Thomas E., WI (6th)
Pingree, Chellie, ME (1st)
Pitts, Joseph R., PA (16th)
Platts, Todd Russell, PA (19th)
Poe, Ted, TX (2d)
Polis, Jared, CO (2d)
Pomeroy, Earl, ND (At Large)
Posey, Bill, FL (15th)
Price, David E., NC (4th)
Price, Tom, GA (6th)
Putnam, Adam H., FL (12th)
Quigley, Mike, IL (5th)
Radanovich, George, CA (19th)
Rahall, Nick J. II, WV (3d)
Rangel, Charles B., NY (15th)
Rehberg, Denny, MT (At Large)
Reichert, David G., WA (8th)
Reyes, Silvestre, TX (16th)
Richardson, Laura, CA (37th)
Rodriguez, Ciro D., TX (23d)
Roe, David P., TN (1st)
Rogers, Harold, KY (5th)
Rogers, Mike, AL (3d)
Rogers, Mike, MI (8th)
Rohrabacher, Dana, CA (46th)
Rooney, Thomas J., FL (16th)
Roskam, Peter J., IL (6th)
Ros-Lehtinen, Ileana, FL (18th)
Ross, Mike, AR (4th)
Rothman, Steven R., NJ (9th)
Roybal-Allard, Lucille, CA (34th)
Royce, Edward R., CA (40th)
Ruppersberger, C. A. Dutch, MD (2d)
Rush, Bobby L., IL (1st)
Ryan, Paul, WI (1st)
Ryan, Tim, OH (17th)
Salazar, John T., CO (3d)
Sanchez, Linda T., CA (39th)
Sanchez, Loretta, CA (47th)
Sarbanes, John P., MD (3d)
Scalise, Steve, LA (1st)
Schakowsky, Janice D., IL (9th)
Schauer, Mark H., MI (7th)
Schiff, Adam B., CA (29th)
Schmidt, Jean, OH (2d)
Schock, Aaron, IL (18th)
Schrader, Kurt, OR (5th)
Schwartz, Allyson Y., PA (13th)
Scott, David, GA (13th)
Scott, Robert C. ``Bobby'', VA (3d)
Sensenbrenner, F. James, Jr., WI (5th)
Serrano, Jose E., NY (16th)
Sessions, Pete, TX (32d)
Sestak, Joe, PA (7th)
Shadegg, John B., AZ (3d)
Shea-Porter, Carol, NH (1st)
Sherman, Brad, CA (27th)
Shimkus, John, IL (19th)
Shuler, Heath, NC (11th)
Shuster, Bill, PA (9th)
Simpson, Michael K., ID (2d)
Sires, Albio, NJ (13th)
Skelton, Ike, MO (4th)
Slaughter, Louise McIntosh, NY (28th)
Smith, Adam, WA (9th)
Smith, Adrian, NE (3d)
Smith, Christopher H., NJ (4th)
Smith, Lamar, TX (21st)
Snyder, Vic, AR (2d)

[[Page 313]]


Souder, Mark E., IN (3d)
Space, Zachary T., OH (18th)
Speier, Jackie, CA (12th)
Spratt, John M., Jr., SC (5th)
Stark, Fortney Pete, CA (13th)
Stearns, Cliff, FL (6th)
Stupak, Bart, MI (1st)
Sullivan, John, OK (1st)
Sutton, Betty, OH (13th)
Tanner, John S., TN (8th)
Taylor, Gene, MS (4th)
Teague, Harry, NM (2d)
Terry, Lee, NE (2d)
Thompson, Bennie G., MS (2d)
Thompson, Glenn, PA (5th)
Thompson, Mike, CA (1st)
Thornberry, Mac, TX (13th)
Tiahrt, Todd, KS (4th)
Tiberi, Patrick J., OH (12th)
Tierney, John F., MA (6th)
Titus, Dina, NV (3d)
Tonko, Paul, NY (21st)
Towns, Edolphus, NY (10th)
Tsongas, Niki, MA (5th)
Turner, Michael R., OH (3d)
Upton, Fred, MI (6th)
Van Hollen, Chris, MD (8th)
Velazquez, Nydia M., NY (12th)
Visclosky, Peter J., IN (1st)
Walden, Greg, OR (2d)
Walz, Timothy J., MN (1st)
Wamp, Zach, TN (3d)
Wasserman Schultz, Debbie, FL (20th)
Waters, Maxine, CA (35th)
Watson, Diane E., CA (33d)
Watt, Melvin L., NC (12th)
Waxman, Henry A., CA (30th)
Weiner, Anthony D., NY (9th)
Welch, Peter, VT (At Large)
Westmoreland, Lynn A. GA (3d)
Wexler, Robert, FL (19th)
Whitfield, Ed, KY (1st)
Wilson, Charles A., OH (6th)
Wilson, Joe, SC (2d)
Wittman, Robert J., VA (1st)
Wolf, Frank R., VA (10th)
Woolsey, Lynn C., CA (6th)
Wu, David, OR (1st)
Yarmuth, John A., KY (3d)
Young, C. W. Bill, FL (10th)
Young, Don, AK (At Large)

DELEGATES
Bordallo, Madeleine Z., GU
Christensen, Donna M., VI
Faleomavaega, Eni F. H., AS
Sablan, Gregorio Kilili Camacho, MP
Norton, Eleanor Holmes, DC

RESIDENT COMISSIONER
Pierluisi, Pedro R., PR


