

Congressional Directory for the 108th Congress (2003-2004), January 2004. - 


Congressional Directory for the 108th Congress (2003-2004), January 2004.
[Pages 309-312]
[From the U.S. Government Publishing Office, www.gpo.gov]


                             REPRESENTATIVES

 Republicans in roman (228); Democrats in italic (204); Independents in 
  Small Caps (1); Resident Commissioner and Delegates in boldface (5); 
                         Vacant (2); total 440.

Norwood, Charlie, GA (9th)
Nunes, Devin, CA (21st)
Nussle, Jim, IA (1st)
Oberstar, James L., MN (8th)
Obey, David R., WI (7th)
Olver, John W., MA (1st)
Ortiz, Solomon P., TX (27th)
Osborne, Tom, NE (3rd)
Ose, Doug, CA (3rd)
Otter, C.L. (Butch), ID (1st)
Owens, Major R., NY (11th)
Oxley, Michael G., OH (4th)
Pallone, Frank, Jr., NJ (6th)
Pascrell, Bill, Jr., NJ (8th)
Pastor, Ed, AZ (4th)
Paul, Ron, TX (14th)
Payne, Donald M., NJ (10th)
Pearce, Stevan, NM (2nd)
Pelosi, Nancy, CA (8th)
Pence, Mike, IN (6th)
Peterson, Collin C., MN (7th)
Peterson, John E., PA (5th)
Petri, Thomas E., WI (6th)
Pickering, Charles W. (Chip) Jr., MS (3rd)
Pitts, Joseph R., PA (16th)
Platts, Todd Russell, PA (19th)
Pombo, Richard W., CA (11th)
Pomeroy, Earl, ND (At Large)
Porter, Jon C., NV (3rd)
Portman, Rob, OH (2nd)
Price, David E., NC (4th)
Pryce, Deborah H., OH (15th)
Putnam, Adam, FL (12th)
Quinn, Jack, NY (27th)
Radanovich, George, CA (19th)
Rahall, Nick J., II, WV (3rd)
Ramstad, Jim, MN (3rd)
Rangel, Charles B., NY (15th)
Regula, Ralph, OH (16th)
Rehberg, Dennis R., MT (At Large)
Renzi, Rick, AZ (1st)
Reyes, Silvestre, TX (16th)
Reynolds, Thomas M., NY (26th)
Rodriguez, Ciro D., TX (28th)
Rogers, Harold, KY (5th)
Rogers, Mike, AL (3rd)
Rogers, Mike, MI (8th)
Rohrabacher, Dana, CA (46th)
Ros-Lehtinen, Ileana, FL (18th)
Ross, Mike, AR (4th)
Rothman, Steven R., NJ (9th)
Roybal-Allard, Lucille, CA (34th)
Royce, Edward R., CA (40th)
Ruppersberger, C.A. Dutch, MD (2nd)
Rush, Bobby L., IL (1st)
Ryan, Paul, WI (1st)
Ryan, Timothy J., OH (17th)
Ryun, Jim, KS (2nd)
Sabo, Martin Olav, MN (5th)
Sanchez, Linda T., CA (39th)
Sanchez, Loretta, CA (47th)
Sanders, Bernard, VT (At Large)
Sandlin, Max, TX (1st)
Saxton, Jim, NJ (3rd)
Schakowsky, Janice D., IL (9th)
Schiff, Adam B., CA (29th)
Schrock, Edward L., VA (2nd)
Scott, David, GA (13th)
Scott, Robert C., VA (3rd)
Sensenbrenner, F. James, Jr., WI (5th)
Serrano, Jose E., NY (16th)
Sessions, Pete, TX (32nd)
Shadegg, John B., AZ (3rd)
Shaw, E. Clay, Jr., FL (22nd)
Shays, Christopher, CT (4th)
Sherman, Brad, CA (27th)
Sherwood, Don, PA (10th)
Shimkus, John, IL (19th)
Shuster, Bill, PA (9th)
Simmons, Rob, CT (2nd)
Simpson, Michael K., ID (2nd)
Skelton, Ike, MO (4th)

[[Page 312]]


Slaughter, Louise McIntosh, NY (28th)
Smith, Adam, WA (9th)
Smith, Christopher H., NJ (4th)
Smith, Lamar S., TX (21st)
Smith, Nick, MI (7th)
Snyder, Vic, AR (2nd)
Solis, Hilda L., CA (32nd)
Souder, Mark E., IN (3rd)
Spratt, John M., Jr., SC (5th)
Stark, Fortney Pete, CA (13th)
Stearns, Cliff, FL (6th)
Stenholm, Charles W., TX (17th)
Strickland, Ted, OH (6th)
Stupak, Bart, MI (1st)
Sullivan, John, OK (1st)
Sweeney, John E., NY (20th)
Tancredo, Thomas G., CO (6th)
Tanner, John S., TN (8th)
Tauscher, Ellen O., CA (10th)
Tauzin, W.J. (Billy), LA (3rd)
Taylor, Charles H., NC (11th)
Taylor, Gene, MS (4th)
Terry, Lee, NE (2nd)
Thomas, William M., CA (22nd)
Thompson, Bennie G., MS (2nd)
Thompson, Mike, CA (1st)
Thornberry, Mac, TX (13th)
Tiahrt, Todd, KS (4th)
Tiberi, Patrick J., OH (12th)
Tierney, John F., MA (6th)
Toomey, Patrick J., PA (15th)
Towns, Edolphus, NY (10th)
Turner, Jim, TX (2nd)
Turner, Michael R., OH (3rd)
Udall, Mark, CO (2nd)
Udall, Tom, NM (3rd)
Upton, Fred, MI (6th)
Van Hollen, Chris, MD (8th)
Velazquez, Nydia M., NY (12th)
Visclosky, Peter J., IN (1st)
Vitter, David, LA (1st)
Walden, Greg, OR (2nd)
Walsh, James T., NY (25th)
Wamp, Zach, TN (3rd)
Waters, Maxine, CA (35th)
Watson, Diane E., CA (33rd)
Watt, Melvin L., NC (12th)
Waxman, Henry A., CA (30th)
Weiner, Anthony D., NY (9th)
Weldon, Curt, PA (7th)
Weldon, Dave, FL (15th)
Weller, Jerry, IL (11th)
Wexler, Robert, FL (19th)
Whitfield, Ed, KY (1st)
Wicker, Roger F., MS (1st)
Wilson, Heather, NM (1st)
Wilson, Joe, SC (2nd)
Wolf, Frank R., VA (10th)
Woolsey, Lynn C., CA (6th)
Wu, David, OR (1st)
Wynn, Albert Russell, MD (4th)
Young, C.W. Bill, FL (10th)
Young, Don, AK (At Large)

DELEGATES
Bordallo, Madeleine Z., GU
Christensen, Donna M., VI
Faleomavaega, Eni F.H., AS
Norton, Eleanor Holmes, DC

RESIDENT COMISSIONER
Acevedo-Vila, Anibal, PR


