

Congressional Directory for the 106th Congress (1999-2000), October 2000. - 


Congressional Directory for the 106th Congress (1999-2000), October 2000.
[Pages 321-324]
[From the U.S. Government Publishing Office, www.gpo.gov]


[[Page 321]]

                    REPRESENTATIVES - 106TH CONGRESS

 Republicans in roman (222). Democrats in italic (211). Independents in 
                   bold (1). [Vacant] (1). Total 435.

McNulty, Michael R., NY (21st)
Meehan, Martin T., MA (5th)
Meek, Carrie, FL (17th)
Meeks, Gregory W., NY (6th)
Menendez, Robert, NJ (13th)
Metcalf, Jack, WA (2nd)
Mica, John L., FL (7th)
Millender-McDonald, Juanita, CA (37th)
Miller, Dan, FL (13th)
Miller, Gary G., CA (41st)
Miller, George, CA (7th)
Minge, David, MN (2nd)
Mink, Patsy T., HI (2nd)
Moakley, John Joseph, MA (9th)
Mollohan, Alan B., WV (1st)
Moore, Dennis, KS (3rd)
Moran, James P., VA (8th)
Moran, Jerry, KS (1st)
Morella, Constance A., MD (8th)
Murtha, John P., PA (12th)
Myrick, Sue, NC (9th)
Nadler, Jerrold, NY (8th)
Napolitano, Grace F., CA (34th)
Neal, Richard E., MA (2nd)
Nethercutt, George, WA (5th)
Ney, Robert W., OH (18th)
Northup, Anne M., KY (3rd)
Norwood, Charlie, GA (10th)
Nussle, Jim, IA (2nd)
Oberstar, James L., MN (8th)
Obey, David R., WI (7th)
Olver, John W., MA (1st)
Ortiz, Solomon P., TX (27th)
Ose, Doug, CA (3rd)
Owens, Major R., NY (11th)
Oxley, Michael G., OH (4th)
Packard, Ron, CA (48th)
Pallone, Frank, Jr., NJ (6th)
Pascrell, William J., Jr., NJ (8th)
Pastor, Ed, AZ (2nd)
Paul, Ron, TX (14th)
Payne, Donald M., NJ (10th)
Pease, Edward A., IN (7th)
Pelosi, Nancy, CA (8th)
Peterson, Collin C., MN (7th)
Peterson, John E., PA (5th)
Petri, Thomas E., WI (6th)
Phelps, David D., IL (19th)
Pickering, Charles W. (Chip) Jr., MS (3rd)
Pickett, Owen B., VA (2nd)
Pitts, Joseph R., PA (16th)
Pombo, Richard W., CA (11th)
Pomeroy, Earl, ND (At Large)
Porter, John Edward, IL (10th)
Portman, Rob, OH (2nd)
Price, David E., NC (4th)
Pryce, Deborah, OH (15th)
Quinn, Jack, NY (30th)
Radanovich, George, CA (19th)
Rahall, Nick J., II, WV (3rd)
Ramstad, Jim, MN (3rd)
Rangel, Charles B., NY (15th)
Regula, Ralph, OH (16th)
Reyes, Silvestre, TX (16th)
Reynolds, Thomas M., NY (27th)
Riley, Bob, AL (3rd)
Rivers, Lynn Nancy, MI (13th)
Rodriguez, Ciro, TX (28th)
Roemer, Timothy J., IN (3rd)
Rogan, James E., CA (27th)
Rogers, Harold, KY (5th)
Rohrabacher, Dana, CA (45th)
Ros-Lehtinen, Ileana, FL (18th)
Rothman, Steven R., NJ (9th)
Roukema, Marge, NJ (5th)
Roybal-Allard, Lucille, CA (33rd)
Royce, Edward R., CA (39th)
Rush, Bobby L., IL (1st)
Ryan, Paul, WI (1st)
Ryun, Jim, KS (2nd)
Sabo, Martin Olav, MN (5th)
Salmon, Matt, AZ (1st)
Sanchez, Loretta, CA (46th)
Sanders, Bernard, VT (At Large)
Sandlin, Max, TX (1st)
Sanford, Marshall (Mark), SC (1st)
Sawyer, Thomas C., OH (14th)
Saxton, Jim, NJ (3rd)
Scarborough, Joe, FL (1st)
Schaffer, Bob, CO (4th)
Schakowsky, Janice D., IL (9th)
Scott, Robert C. (Bobby), VA (3rd)
Sensenbrenner, F. James, Jr., WI (9th)
Serrano, Jose E., NY (16th)
Sessions, Pete, TX (5th)
Shadegg, John, AZ (4th)
Shaw, E. Clay, Jr., FL (22nd)
Shays, Christopher, CT (4th)
Sherman, Brad, CA (24th)
Sherwood, Don, PA (10th)
Shimkus, John M., IL (20th)
Shows, Ronnie, MS (4th)
Shuster, Bud, PA (9th)
Simpson, Michael K., ID (2nd)
Sisisky, Norman, VA (4th)
Skeen, Joe, NM (2nd)
Skelton, Ike, MO (4th)
Slaughter, Louise McIntosh, NY (28th)
Smith, Adam, WA (9th)
Smith, Christopher H., NJ (4th)
Smith, Lamar S., TX (21st)
Smith, Nick, MI (7th)
Snyder, Vic, AR (2nd)

[[Page 324]]


Souder, Mark E., IN (4th)
Spence, Floyd, SC (2nd)
Spratt, John M., Jr., SC (5th)
Stabenow, Debbie, MI (8th)
Stark, Fortney Pete, CA (13th)
Stearns, Cliff, FL (6th)
Stenholm, Charles W., TX (17th)
Strickland, Ted, OH (6th)
Stump, Bob, AZ (3rd)
Stupak, Bart, MI (1st)
Sununu, John E., NH (1st)
Sweeney, John E., NY (22nd)
Talent, James M., MO (2nd)
Tancredo, Thomas G., CO (6th)
Tanner, John S., TN (8th)
Tauscher, Ellen, CA (10th)
Tauzin, W.J. (Billy), LA (3rd)
Taylor, Charles H., NC (11th)
Taylor, Gene, MS (5th)
Terry, Lee, NE (2nd)
Thomas, Bill, CA (21st)
Thompson, Bennie G., MS (2nd)
Thompson, Mike, CA (1st)
Thornberry, William (Mac), TX (13th)
Thune, John, SD (At Large)
Thurman, Karen L., FL (5th)
Tiahrt, Todd, KS (4th)
Tierney, John, MA (6th)
Toomey, Patrick J., PA (15th)
Towns, Edolphus, NY (10th)
Traficant, James A., Jr., OH (17th)
Turner, Jim, TX (2nd)
Udall, Mark, CO (2nd)
Udall, Tom, NM (3rd)
Upton, Fred, MI (6th)
Velazquez, Nydia M., NY (12th)
Vento, Bruce F., MN (4th)
Visclosky, Peter J., IN (1st)
Vitter, David, LA (1st)
Walden, Greg, OR (2nd)
Walsh, James T., NY (25th)
Wamp, Zach, TN (3rd)
Waters, Maxine, CA (35th)
Watkins, Wes, OK (3rd)
Watt, Melvin, NC (12th)
Watts, J.C., Jr., OK (4th)
Waxman, Henry A., CA (29th)
Weiner, Anthony D., NY (9th)
Weldon, Curt, PA (7th)
Weldon, Dave, FL (15th)
Weller, Jerry, IL (11th)
Wexler, Robert, FL (19th)
Weygand, Robert A., RI (2nd)
Whitfield, Edward, KY (1st)
Wicker, Roger, MS (1st)
Wilson, Heather, NM (1st)
Wise, Robert E., Jr., WV (2nd)
Wolf, Frank R., VA (10th)
Woolsey, Lynn, CA (6th)
Wu, David, OR (1st)
Wynn, Albert R., MD (4th)
Young, C.W. Bill, FL (10th)
Young, Don, AK (At Large)

DELEGATES
Christensen, Donna MC, VI
Faleomavaega, Eni F. H., AS
Norton, Eleanor Holmes, DC
Underwood, Robert A., GU

RESIDENT COMISSIONER
Romero-Barcelo, Carlos, PR



