

Congressional Directory for the 106th Congress (1999-2000), June 1999. - 


Congressional Directory for the 106th Congress (1999-2000), June 1999.
[Pages 321-324]
[From the U.S. Government Publishing Office, www.gpo.gov]


[[Page 321]]


                    REPRESENTATIVES - 106TH CONGRESS

 Republicans in roman (222). Democrats in italic (211). Independents in 
                   bold (1). [Vacant] (1). Total 435.

Petri, Thomas E., WI (6th) (R)
Phelps, David D., IL (19th) (D)
Pickering, Charles W. (Chip) Jr., MS (3rd) (R)
Pickett, Owen B., VA (2nd) (D)
Pitts, Joseph R., PA (16th) (R)
Pombo, Richard W., CA (11th) (R)
Pomeroy, Earl, ND (At Large) (D)
Porter, John Edward, IL (10th) (R)
Portman, Rob, OH (2nd) (R)
Price, David E., NC (4th) (D)
Pryce, Deborah, OH (15th) (R)
Quinn, Jack, NY (30th) (R)
Radanovich, George, CA (19th) (R)
Rahall, Nick J., II, WV (3rd) (D)
Ramstad, Jim, MN (3rd) (R)
Rangel, Charles B., NY (15th) (D)
Regula, Ralph, OH (16th) (R)
Reyes, Silvestre, TX (16th) (D)
Reynolds, Thomas M., NY (27th) (R)
Riley, Bob, AL (3rd) (R)
Rivers, Lynn Nancy, MI (13th) (D)
Rodriguez, Ciro, TX (28th) (D)
Roemer, Timothy J., IN (3rd) (D)
Rogan, James E., CA (27th) (R)
Rogers, Harold, KY (5th) (R)
Rohrabacher, Dana, CA (45th) (R)
Ros-Lehtinen, Ileana, FL (18th) (R)
Rothman, Steven R., NJ (9th) (D)
Roukema, Marge, NJ (5th) (R)
Roybal-Allard, Lucille, CA (33rd) (D)
Royce, Edward R., CA (39th) (R)
Rush, Bobby L., IL (1st) (D)
Ryan, Paul, WI (1st) (R)
Ryun, Jim, KS (2nd) (R)
Sabo, Martin Olav, MN (5th) (D)
Salmon, Matt, AZ (1st) (R)
Sanchez, Loretta, CA (46th) (D)
Sanders, Bernard, VT (At Large) (I)
Sandlin, Max, TX (1st) (D)
Sanford, Marshall (Mark), SC (1st) (R)
Sawyer, Thomas C., OH (14th) (D)
Saxton, Jim, NJ (3rd) (R)
Scarborough, Joe, FL (1st) (R)
Schaffer, Bob, CO (4th) (R)
Schakowsky, Janice D., IL (9th) (D)
Scott, Robert C. (Bobby), VA (3rd) (D)
Sensenbrenner, F. James, Jr., WI (9th) (R)
Serrano, Jose E., NY (16th) (D)
Sessions, Pete, TX (5th) (R)
Shadegg, John, AZ (4th) (R)
Shaw, E. Clay, Jr., FL (22nd) (R)
Shays, Christopher, CT (4th) (R)
Sherman, Brad, CA (24th) (D)
Sherwood, Don, PA (10th) (R)
Shimkus, John M., IL (20th) (R)
Shows, Ronnie, MS (4th) (D)
Shuster, Bud, PA (9th) (R)
Simpson, Michael K., ID (2nd) (R)
Sisisky, Norman, VA (4th) (D)
Skeen, Joe, NM (2nd) (R)
Skelton, Ike, MO (4th) (D)
Slaughter, Louise McIntosh, NY (28th) (D)
Smith, Adam, WA (9th) (D)
Smith, Christopher H., NJ (4th) (R)
Smith, Lamar S., TX (21st) (R)
Smith, Nick, MI (7th) (R)
Snyder, Vic, AR (2nd) (D)

[[Page 324]]


Souder, Mark E., IN (4th) (R)
Spence, Floyd, SC (2nd) (R)
Spratt, John M., Jr., SC (5th) (D)
Stabenow, Debbie, MI (8th) (D)
Stark, Fortney Pete, CA (13th) (D)
Stearns, Cliff, FL (6th) (R)
Stenholm, Charles W., TX (17th) (D)
Strickland, Ted, OH (6th) (D)
Stump, Bob, AZ (3rd) (R)
Stupak, Bart, MI (1st) (D)
Sununu, John E., NH (1st) (R)
Sweeney, John E., NY (22nd) (R)
Talent, James M., MO (2nd) (R)
Tancredo, Thomas G., CO (6th) (R)
Tanner, John S., TN (8th) (D)
Tauscher, Ellen, CA (10th) (D)
Tauzin, W.J. (Billy), LA (3rd) (R)
Taylor, Charles H., NC (11th) (R)
Taylor, Gene, MS (5th) (D)
Terry, Lee, NE (2nd) (R)
Thomas, Bill, CA (21st) (R)
Thompson, Bennie G., MS (2nd) (D)
Thompson, Mike, CA (1st) (D)
Thornberry, William (Mac), TX (13th) (R)
Thune, John, SD (At Large) (R)
Thurman, Karen L., FL (5th) (D)
Tiahrt, Todd, KS (4th) (R)
Tierney, John, MA (6th) (D)
Toomey, Patrick J., PA (15th) (R)
Towns, Edolphus, NY (10th) (D)
Traficant, James A., Jr., OH (17th) (D)
Turner, Jim, TX (2nd) (D)
Udall, Mark, CO (2nd) (D)
Udall, Tom, NM (3rd) (D)
Upton, Fred, MI (6th) (R)
Velazquez, Nydia M., NY (12th) (D)
Vento, Bruce F., MN (4th) (D)
Visclosky, Peter J., IN (1st) (D)
Vitter, David, LA (1st) (R)
Walden, Greg, OR (2nd) (R)
Walsh, James T., NY (25th) (R)
Wamp, Zach, TN (3rd) (R)
Waters, Maxine, CA (35th) (D)
Watkins, Wes, OK (3rd) (R)
Watt, Melvin, NC (12th) (D)
Watts, J.C., Jr., OK (4th) (R)
Waxman, Henry A., CA (29th) (D)
Weiner, Anthony D., NY (9th) (D)
Weldon, Curt, PA (7th) (R)
Weldon, Dave, FL (15th) (R)
Weller, Jerry, IL (11th) (R)
Wexler, Robert, FL (19th) (D)
Weygand, Robert A., RI (2nd) (D)
Whitfield, Edward, KY (1st) (R)
Wicker, Roger, MS (1st) (R)
Wilson, Heather, NM (1st) (R)
Wise, Robert E., Jr., WV (2nd) (D)
Wolf, Frank R., VA (10th) (R)
Woolsey, Lynn, CA (6th) (D)
Wu, David, OR (1st) (D)
Wynn, Albert R., MD (4th) (D)
Young, C.W. Bill, FL (10th) (R)
Young, Don, AK (At Large) (R)

DELEGATES
Christensen, Donna MC, VI (D)
Faleomavaega, Eni F. H., AS (D)
Norton, Eleanor Holmes, DC (D)
Underwood, Robert A., GU (D)

RESIDENT COMISSIONER
Romero-Barcelo, Carlos, PR (D)


